"run_number","value","variable","BETA"
11,2135.86109517448,"soil_c",0.523443703166092
12,2176.98154920236,"soil_c",0.597631244718568
13,2304.02425313033,"soil_c",0.888357891929044
14,2177.12278724879,"soil_c",0.597898695569381
15,2067.35715737327,"soil_c",0.417803640002401
16,2298.03943175714,"soil_c",0.872312843402963
17,2173.3004165471,"soil_c",0.590692706991211
18,2280.36451815753,"soil_c",0.826611032835706
19,2278.08397128567,"soil_c",0.807168694891633
20,2197.81979085499,"soil_c",0.634812720638992
21,2153.43648489373,"soil_c",0.554284191734439
22,2171.42165105894,"soil_c",0.58717509398368
23,2166.07577084237,"soil_c",0.577252096723007
24,2207.35667193887,"soil_c",0.653997428713974
25,2100.9792224708,"soil_c",0.467517357145662
26,2214.76017935936,"soil_c",0.669216872129349
27,2185.75820650724,"soil_c",0.614426913530035
28,2237.93511628809,"soil_c",0.713772862739458
29,2238.32107537465,"soil_c",0.714621724022087
30,2164.02225784823,"soil_c",0.573473811002267
31,2204.11673884135,"soil_c",0.647427640640169
32,2230.1965050049,"soil_c",0.696938586200072
33,2281.14509674719,"soil_c",0.828578327895781
34,2292.02566894495,"soil_c",0.85648660749892
35,2178.35278118389,"soil_c",0.600231709964534
36,2164.19300592645,"soil_c",0.573787272353784
37,2283.56767363458,"soil_c",0.820784757003641
38,2235.43648484407,"soil_c",0.708298942701718
39,2254.34979828723,"soil_c",0.750682082519017
40,2127.43219729206,"soil_c",0.51528109741215
41,2225.16550134734,"soil_c",0.691109433069751
42,2223.33130765537,"soil_c",0.68720668037108
43,2232.12068210248,"soil_c",0.701091639236048
44,2205.72281143701,"soil_c",0.650677564626579
45,2269.29614067686,"soil_c",0.785801685895539
46,2225.85384946092,"soil_c",0.692578985613759
47,2260.73313676381,"soil_c",0.765498218070672
48,2153.22149363446,"soil_c",0.553899357557755
49,2213.42134039241,"soil_c",0.666442993777449
50,2244.88767528967,"soil_c",0.729202050927328
1,519.735908867754,"CO2_concentration",0.629240949062309
2,496.701942480992,"CO2_concentration",0.73839990772411
3,500.10879721146,"CO2_concentration",0.720289979215713
4,513.673608265218,"CO2_concentration",0.65772979338255
5,527.906399363762,"CO2_concentration",0.596194217732068
6,516.73615674286,"CO2_concentration",0.643194035919297
7,484.206172332093,"CO2_concentration",0.808972470689893
8,536.358064255585,"CO2_concentration",0.56008151333621
9,512.141827782543,"CO2_concentration",0.665113634660368
10,501.962339180221,"CO2_concentration",0.710625010655263
11,545.395878337265,"CO2_concentration",0.523443703166092
12,527.579076742385,"CO2_concentration",0.597631244718568
13,475.533665233407,"CO2_concentration",0.888357891929044
14,527.518231782248,"CO2_concentration",0.597898695569381
15,574.967137068935,"CO2_concentration",0.417803640002401
16,478.006662489231,"CO2_concentration",0.872312843402963
17,529.165774043082,"CO2_concentration",0.590692706991211
18,485.343555774184,"CO2_concentration",0.826611032835706
19,484.51082416239,"CO2_concentration",0.807168694891633
20,518.53090657949,"CO2_concentration",0.634812720638992
21,537.756338547487,"CO2_concentration",0.554284191734439
22,529.976232989612,"CO2_concentration",0.58717509398368
23,532.284704678226,"CO2_concentration",0.577252096723007
24,514.453984392094,"CO2_concentration",0.653997428713974
25,560.260257674404,"CO2_concentration",0.467517357145662
26,511.297476080662,"CO2_concentration",0.669216872129349
27,523.802891822653,"CO2_concentration",0.614426913530035
28,501.355906036457,"CO2_concentration",0.713772862739458
29,501.192827639872,"CO2_concentration",0.714621724022087
30,533.172384562499,"CO2_concentration",0.573473811002267
31,515.837663383697,"CO2_concentration",0.647427640640169
32,504.630207642494,"CO2_concentration",0.696938586200072
33,485.018498844705,"CO2_concentration",0.828578327895781
34,480.497432211856,"CO2_concentration",0.85648660749892
35,526.988459393745,"CO2_concentration",0.600231709964534
36,533.098555156856,"CO2_concentration",0.573787272353784
37,482.229347974917,"CO2_concentration",0.820784757003641
38,502.412167898763,"CO2_concentration",0.708298942701718
